No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
235,1-Propanol,2200000000,9.342422681,61844-01-7,CCCO,5.4,,https://doi.org/10.1039/B212666D,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",BDERNNFJNOPAEC-UHFFFAOYSA-N
236,2-Propanol,6000000000,9.77815125,72207-93-3,CC(C)O,,,https://doi.org/10.1016/1010-6030(94)03903-8,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",KFZMGEQAYNKOFK-UHFFFAOYSA-N
237,2-Propanol,1500000000,9.176091259,72207-93-3,CC(C)O,6,,https://doi.org/10.1039/A907133D,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",KFZMGEQAYNKOFK-UHFFFAOYSA-N
238,2-Propanol,3200000000,9.505149978,72207-93-3,CC(C)O,5.4,,https://doi.org/10.1039/B212666D,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",KFZMGEQAYNKOFK-UHFFFAOYSA-N
239,2-Butanol,5000000000,9.698970004,14898-79-4,CCC(C)O,5.4,,https://doi.org/10.1039/B212666D,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",BTANRVKWQNVYAZ-UHFFFAOYSA-N
240,tert-Butanol,2200000000,9.342422681,31061-75-3,CC(C)(C)O,2,,https://doi.org/10.1039/F19888403319,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",DKGAVHZHDRPRBM-UHFFFAOYSA-N
241,tert-Butanol,300000000,8.477121255,31061-75-3,CC(C)(C)O,,,https://doi.org/10.1016/1010-6030(94)03903-8,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",DKGAVHZHDRPRBM-UHFFFAOYSA-N
242,tert-Butanol,320000000,8.505149978,31061-75-3,CC(C)(C)O,6,,https://doi.org/10.1039/A907133D,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",DKGAVHZHDRPRBM-UHFFFAOYSA-N
243,tert-Butanol,478000000,8.679427897,31061-75-3,CC(C)(C)O,6,,https://doi.org/10.1039/A907133D,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",DKGAVHZHDRPRBM-UHFFFAOYSA-N
244,tert-Butanol,620000000,8.792391689,31061-75-3,CC(C)(C)O,6,,https://doi.org/10.1039/A907133D,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",DKGAVHZHDRPRBM-UHFFFAOYSA-N
245,tert-Butanol,851000000,8.92992956,31061-75-3,CC(C)(C)O,6,,https://doi.org/10.1039/A907133D,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",DKGAVHZHDRPRBM-UHFFFAOYSA-N
246,tert-Butanol,1500000000,9.176091259,31061-75-3,CC(C)(C)O,5.4,,https://doi.org/10.1039/B212666D,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",DKGAVHZHDRPRBM-UHFFFAOYSA-N
