No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
375,Diisobutylamine,6600,3.82,110-96-3,CC(C)CNCC(C)C,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C8H19N/c1-7(2)5-9-6-8(3)4/h7-9H,5-6H2,1-4H3",NJBCRXCAPCODGX-UHFFFAOYSA-N
376,Trimethylamine,69,1.84,75-22-9,CN(C)C,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,GETQZCLCWQTVFV-UHFFFAOYSA-N
377,(N-Me)-piperidine,52,1.72,41447-09-0,CN1CCCCC1,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C6H13N/c1-7-5-3-2-4-6-7/h2-6H2,1H3",PAMIQIKDUOTOBW-UHFFFAOYSA-N
378,ethyl guanidine,19,1.28,7762-35-8,CCNC(N)=N,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C3H9N3/c1-2-6-3(4)5/h2H2,1H3,(H4,4,5,6)",KEWLVUBYGUZFKX-UHFFFAOYSA-N
379,acetamidine,130,2.11,144757-44-8,CC(N)=N,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C2H6N2/c1-2(3)4/h1H3,(H3,3,4)",OQLZINXFSUDMHM-UHFFFAOYSA-N
380,dimethylhydrazine,400000,5.6,496924-23-3,CN(C)N,,,https://doi.org/10.1039/D0EW00299B,amine,Nitrogen-containing organics,"InChI=1S/C2H8N2/c1-4(2)3/h3H2,1-2H3",RHUYHJGZWVXEHW-UHFFFAOYSA-N
381,"3,3'-iminodipropionitrile",210000,5.32,143239-18-3,N#CCCNCCC#N,,,https://doi.org/10.1016/j.watres.2007.07.025,nitrile,Nitrogen-containing organics,"InChI=1S/C6H9N3/c7-3-1-5-9-6-2-4-8/h9H,1-2,5-6H2",SBAJRGRUGUQKAF-UHFFFAOYSA-N
382,ametryn,548.71,2.74,2731965-10-7,CCNc1nc(NC(C)C)nc(SC)n1,,,https://doi.org/10.1016/j.chemosphere.2011.02.050,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C9H17N5S/c1-5-10-7-12-8(11-6(2)3)14-9(13-7)15-4/h6H,5H2,1-4H3,(H2,10,11,12,13,14)",RQVYBGPQFYCBGX-UHFFFAOYSA-N
383,prometryn,8327.78,3.92,1202864-57-0,CSc1nc(NC(C)C)nc(NC(C)C)n1,,,https://doi.org/10.1016/j.chemosphere.2021.130089,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C10H19N5S/c1-6(2)11-8-13-9(12-7(3)4)15-10(14-8)16-5/h6-7H,1-5H3,(H2,11,12,13,14,15)",AAEVYOVXGOFMJO-UHFFFAOYSA-N
384,N-Chloromethylamine,245,2.39,4303-47-3,CNCl,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/CH4ClN/c1-3-2/h3H,1H3",QXJIABOUHLYVHP-UHFFFAOYSA-N
385,"1,3-diphenylguanidine",2400,3.38,32514-47-9,N=C(Nc1ccccc1)Nc2ccccc2,,,https://doi.org/10.1016/j.jhazmat.2019.121590,amine,Nitrogen-containing organics,"InChI=1S/C13H13N3/c14-13(15-11-7-3-1-4-8-11)16-12-9-5-2-6-10-12/h1-10H,(H3,14,15,16)",OWRCNXZUPFZXOS-UHFFFAOYSA-N
386,"1,3-di-o-tolylguanidine",5599,3.75,97-39-2,Cc1ccccc1NC(=N)Nc2ccccc2C,,,https://doi.org/10.1016/j.jhazmat.2019.121590,amine,Nitrogen-containing organics,"InChI=1S/C15H17N3/c1-11-7-3-5-9-13(11)17-15(16)18-14-10-6-4-8-12(14)2/h3-10H,1-2H3,(H3,16,17,18)",OPNUROKCUBTKLF-UHFFFAOYSA-N
387,4-piperidine,16000,4.2,1147181-19-8,FC(F)(F)C1=CC(C2=NOC(C3CCNCC3)=N2)=CC=C1,,,https://doi.org/10.1016/j.watres.2007.07.025,halogenated,Halogenated organics,"InChI=1S/C14H14F3N3O/c15-14(16,17)11-3-1-2-10(8-11)12-19-13(21-20-12)9-4-6-18-7-5-9/h1-3,8-9,18H,4-7H2",FUFZNHHSSMCXCZ-UHFFFAOYSA-N
388,Atenolol,0.01,-1.89,1202864-50-3,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,,,https://kinetics.nist.gov/solution/,amide,Nitrogen-containing organics,"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)",METKIMKYRPQLGS-UHFFFAOYSA-N
389,Nadolol,0.24,-0.62,2434865-25-3,CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,,,https://kinetics.nist.gov/solution/,amine,Nitrogen-containing organics,"InChI=1S/C17H27NO4/c1-17(2,3)18-9-12(19)10-22-16-6-4-5-11-7-14(20)15(21)8-13(11)16/h4-6,12,14-15,18-21H,7-10H2,1-3H3/t12?,14-,15+/m1/s1",VWPOSFSPZNDTMJ-UCWKZMIHSA-N
390,Metoprolol,0.01,-1.86,959786-79-9,COCCc1ccc(OCC(O)CNC(C)C)cc1,,,https://kinetics.nist.gov/solution/,amine,Nitrogen-containing organics,"InChI=1S/C15H25NO3/c1-12(2)16-10-14(17)11-19-15-6-4-13(5-7-15)8-9-18-3/h4-7,12,14,16-17H,8-11H2,1-3H3",IUBSYMUCCVWXPE-UHFFFAOYSA-N
