No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
1,(C2H5)2NH,5.792391689,109-89-7,CCNCC,,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",HPNMFZURTQLUMO-UHFFFAOYSA-N
2,(C2H5)2O,0.041392685,60-29-7,CCOCC,2,,NIST,alcohol,Oxygenated organics,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",RTZKZFJDLAIYFH-UHFFFAOYSA-N
3,(C2H5)3N,6.322219295,121-44-8,CCN(CC)CC,,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",ZMANZCXQSJIPKH-UHFFFAOYSA-N
4,(CH3)2NCl,3.278753601,1585-74-6,CN(C)Cl,1.6,,NIST,halogenated,Halogenated organics,InChI=1S/C2H6ClN/c1-4(2)3/h1-2H3,MAGVJLLHDZWQFM-UHFFFAOYSA-N
5,(CH3)2NH2+,-0.886056648,17000-01-0,C[NH2+]C,5~6,,NIST,halogenated,Halogenated organics,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3/p+1",ROSDSFDQCJNGOL-UHFFFAOYSA-O
6,(CH3)2NNO,1.041392685,62-75-9,CN(C)N=O,5,,NIST,halogenated,Halogenated organics,InChI=1S/C2H6N2O/c1-4(2)3-5/h1-2H3,UMFJAHHVKNCGLG-UHFFFAOYSA-N
7,(CH3)3CCO2-,-2.698970004,29650-96-2,CC(C)(C)C(=O)[O-],5.1 - 5.8,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C5H10O2/c1-5(2,3)4(6)7/h1-3H3,(H,6,7)/p-1",IUGYQRQAERSCNH-UHFFFAOYSA-M
8,(CH3)3CNH2,4.653212514,75-64-9,CC(C)(N)C,,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H11N/c1-4(2,3)5/h5H2,1-3H3",YBRBMKDOPFTVDT-UHFFFAOYSA-N
9,(CH3)3N,6.612783857,75-50-3,CN(C)C,,,NIST,halogenated,Halogenated organics,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,GETQZCLCWQTVFV-UHFFFAOYSA-N
10,(CH3CH2CH2)2S,5.301029996,638-46-0,CCCCSCC,2,,NIST,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C6H14S/c1-3-5-6-7-4-2/h3-6H2,1-2H3",XJIRSLHMKBUGMR-UHFFFAOYSA-N
11,(E)-3-hexen-1-ol,4.571429303,928-97-2,CC/C=C/CCO,,,10.1039/c6ra17107a,alkane,Aliphatic hydrocarbons,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h3-4,7H,2,5-6H2,1H3/b4-3+",UFLHIIWVXFIJGU-ONEGZZNKSA-N
12,(E)-3-hexene,4.975638566,13269-52-8,CC/C=C/CC,,,https://doi.org/10.5194/essd-12-1203-2020,alkane,Aliphatic hydrocarbons,"InChI=1S/C6H12/c1-3-5-6-4-2/h5-6H,3-4H2,1-2H3/b6-5+",ZQDPJFUHLCOCRG-AATRIKPKSA-N
13,(Z)-2-hexene,4.970072449,7688-21-3,CCC/C=C\C,,,10.1002/kin.10093,alkane,Aliphatic hydrocarbons,"InChI=1S/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3-",RYPKRALMXUUNKS-HYXAFXHYSA-N
14,(Z)-2-pentene,4.88694734,627-20-3,CC/C=C\C,,,10.1002/kin.10093,alkane,Aliphatic hydrocarbons,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3-",QMMOXUPEWRXHJS-HYXAFXHYSA-N
15,(Z)-3-hexen-1-ol,4.554986769,928-96-1,CC/C=C\CCO,,,https://doi.org/10.1016/j.atmosenv.2016.09.057,alkane,Aliphatic hydrocarbons,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h3-4,7H,2,5-6H2,1H3/b4-3-",UFLHIIWVXFIJGU-ARJAWSKDSA-N
16,(Z)-3-methyl-2-penten,5.453682139,922-62-3,C/C(CC)=C/C,,,10.1007/BF00048331,halogenated,Halogenated organics,"InChI=1S/C6H12/c1-4-6(3)5-2/h4H,5H2,1-3H3/b6-4-",BEQGRRJLJLVQAQ-XQRVVYSFSA-N
17,-O2C(CH2)3CO2-,-2.096910013,56-16-6,[O-]C(=O)CCCC(=O)[O-],4~6,,NIST,halogenated,Halogenated organics,"InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)/p-2",JFCQEDHGNNZCLN-UHFFFAOYSA-L
18,-O2CCO2-,-1.397940009,338-70-5,O=C([O-])C(=O)[O-],,,NIST,halogenated,Halogenated organics,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)/p-2",MUBZPKHOEPUJKR-UHFFFAOYSA-L
19,"1,1-Dichloroacetone",-2.3,513-88-2,CC(=O)C(Cl)Cl,,,https://doi.org/10.1016/j.jece.2024.112473,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H4Cl2O/c1-2(6)3(4)5/h3H,1H3",CSVFWMMPUJDVKH-UHFFFAOYSA-N
20,"1,1-dichloroethene",2.041392685,75-35-4,C=C(Cl)Cl,2,,10.1016/0043-1354(83)90098-2,halogenated,Halogenated organics,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,LGXVIGDEPROXKC-UHFFFAOYSA-N
21,"1,1-dichloropropene",3.27073931,563-58-6,CC=C(Cl)Cl,,,doi.org/10.1016/j.watres.2012.06.006,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H4Cl2/c1-2-3(4)5/h2H,1H3",ZAIDIVBQUMFXEC-UHFFFAOYSA-N
22,"1,1-dichloropropene",3.375185,26952-23-8,CC=C(Cl)Cl,,,https://doi.org/10.1016/j.jece.2024.112473,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H4Cl2/c1-2-3(4)5/h2H,1H3",ZAIDIVBQUMFXEC-UHFFFAOYSA-N
23,"1,10-Phenanthroline monohydrate",-0.9395,5144-89-8,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O,,,10.1016/j.chemosphere.2014.05.068,cyclo,Aromatic & PAHs,InChI=1S/C12H8N2.H2O/c1-3-9-5-6-10-4-2-8-14-12(10)11(9)13-7-1;/h1-8H;1H2,PPQJCISYYXZCAE-UHFFFAOYSA-N
24,"1,10-Phenanthroline monohydrate",-0.9395,5144-89-8,O.c1cnc2c(c1)ccc1cccnc12,,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs,InChI=1S/C12H8N2.H2O/c1-3-9-5-6-10-4-2-8-14-12(10)11(9)13-7-1;/h1-8H;1H2,PPQJCISYYXZCAE-UHFFFAOYSA-N
25,"1,12-Benzoperylene",3.92,91315-85-4,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs,InChI=1S/C22H12/c1-3-13-7-9-15-11-12-16-10-8-14-4-2-6-18-17(5-1)19(13)21(15)22(16)20(14)18/h1-12H,GYFAGKUZYNFMBN-UHFFFAOYSA-N
26,"1,2,3-C6H3(CH3)3",2.602059991,526-73-8,CC1=CC=CC(C)=C1C,1.7,,NIST,cyclo,Aromatic & PAHs,"InChI=1S/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3",FYGHSUNMUKGBRK-UHFFFAOYSA-N
27,"1,2,3-C6H3Cl3",-1.22184875,87-61-6,ClC1=CC=CC(Cl)=C1Cl,3,,NIST,cyclo,Aromatic & PAHs,InChI=1S/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H,RELMFMZEBKVZJC-UHFFFAOYSA-N
28,"1,2,3-Trichloropropane",-0.06,96-18-4,Clc1cccc(Cl)c1Cl,,,https://doi.org/10.1016/j.jece.2024.112473,benzene,Aromatic & PAHs,InChI=1S/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H,RELMFMZEBKVZJC-UHFFFAOYSA-N
29,"1,2,3-trimethylbenzene",2.60206,57820-96-9,Cc1cccc(C)c1C,1.7,,https://doi.org/10.1016/j.jece.2024.112473,benzene,Aromatic & PAHs,"InChI=1S/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3",FYGHSUNMUKGBRK-UHFFFAOYSA-N
30,"1,2,3-trimethylbenzene",2.602059991,526-73-8,CC1=C(C(=CC=C1)C)C,1.7,,10.1016/0043-1354(83)90098-2,alkane,Aliphatic hydrocarbons,"InChI=1S/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3",FYGHSUNMUKGBRK-UHFFFAOYSA-N
31,"1,2,3-trimethylbenzene",2.602059991,526-73-8,CC1=C(C(=CC=C1)C)C,,,10.1016/0043-1354(83)90098-2,alkane,Aliphatic hydrocarbons,"InChI=1S/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3",FYGHSUNMUKGBRK-UHFFFAOYSA-N
32,"1,2,4-C6H3Cl3",0.204119983,120-82-1,ClC1=CC=C(Cl)C=C1Cl,2,,NIST,cyclo,Aromatic & PAHs,InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H,PBKONEOXTCPAFI-UHFFFAOYSA-N
33,"1,2-C6H4(OH)2",5.491361694,120-80-9,OC1=CC=CC=C1O,2.8,,NIST,alcohol,Oxygenated organics,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",YCIMNLLNPGFGHC-UHFFFAOYSA-N
34,"1,2-Dibromo-3-chloropropane",-1.602059991,96-12-8,C(C(CBr)Br)Cl,2,,NIST,halogenated,Halogenated organics,"InChI=1S/C3H5Br2Cl/c4-1-3(5)2-6/h3H,1-2H2",WBEJYOJJBDISQU-UHFFFAOYSA-N
35,"1,2-dibromoethene",3.176091259,590-12-5,C(=CBr)Br,,,doi.org/10.1016/j.watres.2012.06.006,halogenated,Halogenated organics,InChI=1S/C2H2Br2/c3-1-2-4/h1-2H,UWTUEMKLYAGTNQ-UHFFFAOYSA-N
36,"1,2-dibromoethene",3.176091,52646-68-1,Br/C=C/Br,,,https://doi.org/10.1016/j.jece.2024.112473,halogenated,Halogenated organics,InChI=1S/C2H2Br2/c3-1-2-4/h1-2H/b2-1+,UWTUEMKLYAGTNQ-OWOJBTEDSA-N
37,"1,3,5-C6H3(CH3)3",2.84509804,108-67-8,CC1=CC(C)=CC(C)=C1,1.7,,NIST,cyclo,Aromatic & PAHs,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",AUHZEENZYGFFBQ-UHFFFAOYSA-N
38,"1,3,5-trimethoxy benzene",5.973127854,621-23-8,COC1=CC(=CC(=C1)OC)OC,,,doi.org/10.1016/j.watres.2012.06.006,diol,Polyfunctional / highly functionalized,"InChI=1S/C9H12O3/c1-10-7-4-8(11-2)6-9(5-7)12-3/h4-6H,1-3H3",LKUDPHPHKOZXCD-UHFFFAOYSA-N
39,"1,3,5-trimethoxy benzene",5.973128,1622142-76-0,COc1cc(OC)cc(OC)c1,,,https://doi.org/10.1016/j.jece.2024.112473,alcohol,Oxygenated organics,"InChI=1S/C9H12O3/c1-10-7-4-8(11-2)6-9(5-7)12-3/h4-6H,1-3H3",LKUDPHPHKOZXCD-UHFFFAOYSA-N
40,"1,3,5-trimethylbenzene",2.845098,1274-07-3,Cc1cc(C)cc(C)c1,1.7,,https://doi.org/10.1016/j.jece.2024.112473,benzene,Aromatic & PAHs,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",AUHZEENZYGFFBQ-UHFFFAOYSA-N
41,"1,3-Benzenediol",4.99,33104-34-6,Oc1cccc(O)c1,,,https://doi.org/10.1016/j.jece.2024.112473,alcohol,Oxygenated organics,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",GHMLBKRAJCXXBS-UHFFFAOYSA-N
42,"1,3-C6H4(CH3)2",1.973127854,108-38-3,CC1=CC=CC(C)=C1,2,,NIST,cyclo,Aromatic & PAHs,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",IVSZLXZYQVIEFR-UHFFFAOYSA-N
43,"1,3-C6H4(OH)2",4.991226076,108-46-3,OC1=CC=CC(O)=C1,2.8,,NIST,alcohol,Oxygenated organics,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",GHMLBKRAJCXXBS-UHFFFAOYSA-N
44,"1,3-C6H4(OH)2",5.477121255,108-46-3,OC1=CC=CC(O)=C1,2,,NIST,alcohol,Oxygenated organics,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",GHMLBKRAJCXXBS-UHFFFAOYSA-N
45,"1,3-C6H4Cl2",-0.244125144,541-73-1,ClC1=CC=CC(Cl)=C1,2,,NIST,cyclo,Aromatic & PAHs,InChI=1S/C6H4Cl2/c7-5-2-1-3-6(8)4-5/h1-4H,ZPQOPVIELGIULI-UHFFFAOYSA-N
46,"1,3-Dichlorobutene-2",-2.280668713,926-57-8,C/C(=C/CCl)/Cl,,,10.1007/s10975-005-0142-4,halogenated,Halogenated organics,"InChI=1S/C4H6Cl2/c1-4(6)2-3-5/h2H,3H2,1H3/b4-2-",WLIADPFXSACYLS-RQOWECAXSA-N
47,"1,3-Dichlorobutene-2",-2.28067,11069-19-5,C[C@@H](Cl)/C=C/Cl,,,https://doi.org/10.1016/j.jece.2024.112473,halogenated,Halogenated organics,"InChI=1S/C4H6Cl2/c1-4(6)2-3-5/h2-4H,1H3/b3-2+/t4-/m1/s1",GVNNGJMKAFLSHZ-FSSWKIGTSA-N
48,"1,3-Dimethyluracil",3.45,119255-07-1,Cn1ccc(=O)n(C)c1=O,,,https://doi.org/10.1016/j.jece.2024.112473,halogenated,Halogenated organics,"InChI=1S/C6H8N2O2/c1-7-4-3-5(9)8(2)6(7)10/h3-4H,1-2H3",JSDBKAHWADVXFU-UHFFFAOYSA-N
49,"1,3.5-Trimethylbenzene",2.84509804,108-67-8,CC1=CC(C)=CC(C)=C1,1.7,,https://doi.org/10.1016/0043-1354(83)90098-2,cyclo,Aromatic & PAHs,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",AUHZEENZYGFFBQ-UHFFFAOYSA-N
50,"1,4-Butanediol dimethacrylate",6.61,2082-81-7,C=C(C)C(=O)OCCCCOC(=O)C(=C)C,,,https://doi.org/10.1016/j.jece.2024.112473,diol,Polyfunctional / highly functionalized,"InChI=1S/C12H18O4/c1-9(2)11(13)15-7-5-6-8-16-12(14)10(3)4/h1,3,5-8H2,2,4H3",XOJWAAUYNWGQAU-UHFFFAOYSA-N
51,"1,4-C6H4(CH3)2",2.146128036,106-42-3,CC1=CC=C(C)C=C1,2,,NIST,cyclo,Aromatic & PAHs,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",URLKBWYHVLBVBO-UHFFFAOYSA-N
52,"1,4-C6H4(OH)2",6.176091259,123-31-9,OC1=CC=C(O)C=C1,2.8,,NIST,alcohol,Oxygenated organics,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H",QIGBRXMKCJKVMJ-UHFFFAOYSA-N
53,"1,4-C6H4Cl2",0.477121255,106-46-7,ClC1=CC=C(Cl)C=C1,2,,NIST,cyclo,Aromatic & PAHs,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,OCJBOOLMMGQPQU-UHFFFAOYSA-N
54,"1,4-Dichlorobenzene",0.48,201595-59-7,Clc1ccc(Cl)cc1,,,https://doi.org/10.1016/j.jece.2024.112473,benzene,Aromatic & PAHs,InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H,OCJBOOLMMGQPQU-UHFFFAOYSA-N
55,"1,4-Dioxane",-0.52,123799-84-8,C1COCCO1,,,https://doi.org/10.1016/j.jece.2024.112473,alcohol,Oxygenated organics,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,RYHBNJHYFVUHQT-UHFFFAOYSA-N
56,"1,4-Dithiothreitol",5.23,203633-21-0,O[C@H](CS)[C@H](O)CS,,,https://doi.org/10.1016/j.jece.2024.112473,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C4H10O2S2/c5-3(1-7)4(6)2-8/h3-8H,1-2H2/t3-,4-/m1/s1",VHJLVAABSRFDPM-QWWZWVQMSA-N
57,"1,4-benzoquinone",3.4,106-51-4,C1=CC(=O)C=CC1=O,7,,doi.org/10.1016/j.watres.2012.06.006,cyclo,Aromatic & PAHs,InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H,AZQWKYJCGOJGHM-UHFFFAOYSA-N
58,"1,4-benzoquinone",3.4,33876-90-3,O=C1C=CC(=O)C=C1,7,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs,InChI=1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H,AZQWKYJCGOJGHM-UHFFFAOYSA-N
59,"1,4-dimethoxy benzene",5.113943352,150-78-7,COC1=CC=C(C=C1)OC,,,doi.org/10.1016/j.watres.2012.06.006,diol,Polyfunctional / highly functionalized,"InChI=1S/C8H10O2/c1-9-7-3-5-8(10-2)6-4-7/h3-6H,1-2H3",OHBQPCCCRFSCAX-UHFFFAOYSA-N
60,1-BuOH,-0.22184875,71-36-3,CCCCO,3.2,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N
61,1-BuOH,-0.22184875,71-36-3,CCCCO,2.1,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N
62,1-BuOH,-0.229884705,71-36-3,CCCCO,2,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N
63,1-BuOH,0.041392685,71-36-3,CCCCO,7.2,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N
64,1-BuOH,-0.15490196,71-36-3,CCCCO,5.8,,NIST,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N
65,1-Butanol,-0.236572006,71-36-3,CCCCO,2,,https://doi.org/10.1016/0043-1354(83)90098-2,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N
66,1-Butanol,0.04,31061-75-3,CCCCO,,,https://doi.org/10.1016/j.jece.2024.112473,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N
67,1-Buten-2-ol,4.9,89211-33-6,C=C(O)CC,,,https://doi.org/10.1016/j.jece.2024.112473,halogenated,Halogenated organics,"InChI=1S/C4H8O/c1-3-4(2)5/h5H,2-3H2,1H3",IKZZIQXKLWDPCD-UHFFFAOYSA-N
68,1-Chloronaphthalene,2.301029996,90-13-1,C1=CC=C2C(=C1)C=CC=C2Cl,5.6,,NIST,cyclo,Aromatic & PAHs,InChI=1S/C10H7Cl/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,JTPNRXUCIXHOKM-UHFFFAOYSA-N
69,1-Hexen-4-ol,5.26,688-99-3,CCC(CC=C)O,7,,10.1016/j.scitotenv.2020.136816,alkane,Aliphatic hydrocarbons,"InChI=1S/C6H12O/c1-3-5-6(7)4-2/h3,6-7H,1,4-5H2,2H3",UOGFCIYBLKSQHL-UHFFFAOYSA-N
70,1-Hexen-4-ol,5.26,139164-92-4,C=CC[C@@H](O)CC,7,,https://doi.org/10.1016/j.jece.2024.112473,halogenated,Halogenated organics,"InChI=1S/C6H12O/c1-3-5-6(7)4-2/h3,6-7H,1,4-5H2,2H3/t6-/m0/s1",UOGFCIYBLKSQHL-LURJTMIESA-N
71,1-Hexene-3-ol,4,5729-65-7,C=C[C@H](O)CCC,,,https://doi.org/10.1016/j.jece.2024.112473,halogenated,Halogenated organics,"InChI=1S/C6H12O/c1-3-5-6(7)4-2/h4,6-7H,2-3,5H2,1H3/t6-/m0/s1",BVOSSZSHBZQJOI-LURJTMIESA-N
72,1-Hexene-3-ol,5,4798-44-1,CCCC(C=C)O,,,10.1080/01919519108552279,alkane,Aliphatic hydrocarbons,"InChI=1S/C6H12O/c1-3-5-6(7)4-2/h4,6-7H,2-3,5H2,1H3",BVOSSZSHBZQJOI-UHFFFAOYSA-N
73,1-Hexene-4-ol,5.255272505,928-92-7,C/C=C/CCCO,2,,https://doi.org/10.1016/0043-1354(83)90098-2,halogenated,Halogenated organics,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h2-3,7H,4-6H2,1H3/b3-2+",VTIODUHBZHNXFP-NSCUHMNNSA-N
74,1-Methyl-2-pyrrolidinone,0.3,321572-55-8,CN1CCCC1=O,,,https://doi.org/10.1016/j.jece.2024.112473,halogenated,Halogenated organics,"InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3",SECXISVLQFMRJM-UHFFFAOYSA-N
75,1-Octanol,-0.1,21727-90-2,CCCCCCCCO,,,https://doi.org/10.1016/j.jece.2024.112473,alkane,Aliphatic hydrocarbons,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",KBPLFHHGFOOTCA-UHFFFAOYSA-N
76,1-Octanol,-0.096910013,111-87-5,CCCCCCCCO,2,,https://doi.org/10.1016/0043-1354(83)90098-2,alkane,Aliphatic hydrocarbons,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",KBPLFHHGFOOTCA-UHFFFAOYSA-N
77,1-Pentyl-2-pyrrolidone,0.93,65032-11-3,CCCCCN1CCCC1=O,,,https://doi.org/10.1016/j.jece.2024.112473,alkane,Aliphatic hydrocarbons,"InChI=1S/C9H17NO/c1-2-3-4-7-10-8-5-6-9(10)11/h2-8H2,1H3",NNFAFRAQHBRBCQ-UHFFFAOYSA-N
78,1-Propylamine,-2,107-10-8,CCCN,2,,https://doi.org/10.1016/0043-1354(83)90098-2,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3",WGYKZJWCGVVSQN-UHFFFAOYSA-N
79,1-acetyl-1-cyclohexene,5.361727836,932-66-1,CC(=O)C1=CCCCC1,2.3,25,https://pubs.acs.org/doi/10.1021/acs.est.4c07119,cyclo,Aromatic & PAHs,"InChI=1S/C8H12O/c1-7(9)8-5-3-2-4-6-8/h5H,2-4,6H2,1H3",LTYLUDGDHUEBGX-UHFFFAOYSA-N
80,1-acetyl-1-cyclohexene,5.146128036,932-66-1,CC(=O)C1=CCCCC1,2.3,10,https://pubs.acs.org/doi/10.1021/acs.est.4c07119,cyclo,Aromatic & PAHs,"InChI=1S/C8H12O/c1-7(9)8-5-3-2-4-6-8/h5H,2-4,6H2,1H3",LTYLUDGDHUEBGX-UHFFFAOYSA-N
81,1-acetyl-1-cyclohexene,5.301029996,932-66-1,CC(=O)C1=CCCCC1,2.3,,https://doi.org/10.1021/acs.est.4c07119,cyclo,Aromatic & PAHs,"InChI=1S/C8H12O/c1-7(9)8-5-3-2-4-6-8/h5H,2-4,6H2,1H3",LTYLUDGDHUEBGX-UHFFFAOYSA-N
82,1-acetyl-1-cyclohexene,5.204119983,932-66-1,CC(=O)C1=CCCCC1,2.3,15,https://pubs.acs.org/doi/10.1021/acs.est.4c07119,cyclo,Aromatic & PAHs,"InChI=1S/C8H12O/c1-7(9)8-5-3-2-4-6-8/h5H,2-4,6H2,1H3",LTYLUDGDHUEBGX-UHFFFAOYSA-N
83,1-acetyl-1-cyclohexene,5.301029996,932-66-1,CC(=O)C1=CCCCC1,2.3,20,https://pubs.acs.org/doi/10.1021/acs.est.4c07119,cyclo,Aromatic & PAHs,"InChI=1S/C8H12O/c1-7(9)8-5-3-2-4-6-8/h5H,2-4,6H2,1H3",LTYLUDGDHUEBGX-UHFFFAOYSA-N
84,1-butene,3.76514679,106-98-9,CCC=C,,,https://doi.org/10.1029/2006JD007531,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3",VXNZUUAINFGPBY-UHFFFAOYSA-N
85,1-methylpyrrolidine,6.30103,126084-10-4,C1=C[C@]23N=C2C=13,,,https://doi.org/10.1016/j.jece.2024.112473,halogenated,Halogenated organics,InChI=1S/C5HN/c1-2-5-3(1)4(5)6-5/h2H/t5-/m1/s1,PJMPYFCUTYBQJX-RXMQYKEDSA-N
86,1-methylpyrrolidine,6.301029996,120-94-5,CN1CCCC1,,,doi.org/10.1016/j.watres.2012.06.006,halogenated,Halogenated organics,"InChI=1S/C5H11N/c1-6-4-2-3-5-6/h2-5H2,1H3",AVFZOVWCLRSYKC-UHFFFAOYSA-N
87,1-naphthol,6.816734228,90-15-3,C1=CC=C2C(=C1)C=CC=C2O,,,10.1080/01919512.1995.10555774,cyclo,Aromatic & PAHs,"InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H",KJCVRFUGPWSIIH-UHFFFAOYSA-N
88,1-naphthol,6.816734,19481-11-9,Oc1cccc2ccccc12,,,https://doi.org/10.1016/j.jece.2024.112473,alcohol,Oxygenated organics,"InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H",KJCVRFUGPWSIIH-UHFFFAOYSA-N
89,1-nonen-4-ol,3.698796252,35192-73-5,CCCCCC(CC=C)O,,,https://doi.org/10.1016/j.jes.2018.04.009,alkane,Aliphatic hydrocarbons,"InChI=1S/C9H18O/c1-3-5-6-8-9(10)7-4-2/h4,9-10H,2-3,5-8H2,1H3",NDUPBTSXOSZHON-UHFFFAOYSA-N
90,1-nonene,3.840419778,124-11-8,CCCCCCCC=C,,,10.1007/BF02987585,alkane,Aliphatic hydrocarbons,"InChI=1S/C9H18/c1-3-5-7-9-8-6-4-2/h3H,1,4-9H2,2H3",JRZJOMJEPLMPRA-UHFFFAOYSA-N
91,1-octen,3.876650764,111-66-0,CCCCCCC=C,,,https://doi.org/10.1002/kin.550271102,alkane,Aliphatic hydrocarbons,"InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3",KWKAKUADMBZCLK-UHFFFAOYSA-N
92,1-octen-3-one,3.817142106,4312-99-6,CCCCCC(=O)C=C,,,https://doi.org/10.1016/j.jes.2020.03.031,alkane,Aliphatic hydrocarbons,"InChI=1S/C8H14O/c1-3-5-6-7-8(9)4-2/h4H,2-3,5-7H2,1H3",KLTVSWGXIAYTHO-UHFFFAOYSA-N
93,1-penten-3-one,4.770852012,1629-58-9,CCC(=O)C=C,,,doi.org/10.1016/j.watres.2012.06.006,alkane,Aliphatic hydrocarbons,"InChI=1S/C5H8O/c1-3-5(6)4-2/h3H,1,4H2,2H3",JLIDVCMBCGBIEY-UHFFFAOYSA-N
