No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
469,Benzimidazole,1,51-17-2,C1=CC=C2C(=C1)NC=N2,,,NIST,halogenated,Halogenated organics,"InChI=1S/C7H6N2/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,(H,8,9)",HYZJCKYKOHLVJF-UHFFFAOYSA-N
470,Benzisothiazolinone,6.620136055,54392-15-3,C1=CC=C2C(=C1)C(=O)NS2,,,doi.org/10.1016/j.watres.2012.06.006,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C7H5NOS/c9-7-5-3-1-2-4-6(5)10-8-7/h1-4H,(H,8,9)",DMSMPAJRVJJAGA-UHFFFAOYSA-N
471,Benzo[a]pyrene,3.77815125,50-32-8,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,1~7,,NIST,cyclo,Aromatic & PAHs,InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H,FMMWHPNWAFZXNH-UHFFFAOYSA-N
472,Benzoate ion1-1010-100,0.079181246,766-76-7,[O-]C(C1=CC=CC=C1)=O,5,,https://doi.org/10.1016/0043-1354(83)90098-2,halogenated,Halogenated organics,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)/p-1",WPYMKLBDIGXBTP-UHFFFAOYSA-M
473,Beta-N-methylamino-L-alanine,7.531478917,15920-93-1,CNC[C@@H](C(=O)O)N,6.5,,10.1016/j.watres.2018.05.056,halogenated,Halogenated organics,"InChI=1S/C4H10N2O2/c1-6-2-3(5)4(7)8/h3,6H,2,5H2,1H3,(H,7,8)/t3-/m0/s1",UJVHVMNGOZXSOZ-VKHMYHEASA-N
474,Beta-N-methylamino-L-alanine,7.755874856,15920-93-1,CNC[C@@H](C(=O)O)N,7,,10.1016/j.watres.2018.05.056,halogenated,Halogenated organics,"InChI=1S/C4H10N2O2/c1-6-2-3(5)4(7)8/h3,6H,2,5H2,1H3,(H,7,8)/t3-/m0/s1",UJVHVMNGOZXSOZ-VKHMYHEASA-N
475,Beta-N-methylamino-L-alanine,10.57054294,15920-93-1,CNC[C@@H](C(=O)O)N,9.5,,10.1016/j.watres.2018.05.056,halogenated,Halogenated organics,"InChI=1S/C4H10N2O2/c1-6-2-3(5)4(7)8/h3,6H,2,5H2,1H3,(H,7,8)/t3-/m0/s1",UJVHVMNGOZXSOZ-VKHMYHEASA-N
476,Beta-N-methylamino-L-alanine,9.450249108,15920-93-1,CNC[C@@H](C(=O)O)N,3,,10.1016/j.watres.2018.05.056,halogenated,Halogenated organics,"InChI=1S/C4H10N2O2/c1-6-2-3(5)4(7)8/h3,6H,2,5H2,1H3,(H,7,8)/t3-/m0/s1",UJVHVMNGOZXSOZ-VKHMYHEASA-N
477,Beta-N-methylamino-L-alanine,9.558708571,15920-93-1,CNC[C@@H](C(=O)O)N,8.5,,10.1016/j.watres.2018.05.056,halogenated,Halogenated organics,"InChI=1S/C4H10N2O2/c1-6-2-3(5)4(7)8/h3,6H,2,5H2,1H3,(H,7,8)/t3-/m0/s1",UJVHVMNGOZXSOZ-VKHMYHEASA-N
478,Beta-N-methylamino-L-alanine,6.274157849,15920-93-1,CNC[C@@H](C(=O)O)N,5.8,,10.1016/j.watres.2018.05.056,halogenated,Halogenated organics,"InChI=1S/C4H10N2O2/c1-6-2-3(5)4(7)8/h3,6H,2,5H2,1H3,(H,7,8)/t3-/m0/s1",UJVHVMNGOZXSOZ-VKHMYHEASA-N
