No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
99,Protocatechuic acid,,8.7709,868827-97-8,C1=CC(=C(C=C1C(=O)O)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138856,carboxylic acid,Oxygenated organics,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N
100,Gallic acid,,8.8768,149-91-7,C1=C(C=C(C(=C1O)O)O)C(=O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138857,phenol,Oxygenated organics,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N
101,4-Methyoxybenzoate ion,,8.301,100-09-4,COc1ccc(cc1)C(=O)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.138858,carboxylic acid,Oxygenated organics,"InChI=1S/C8H8O3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H,9,10)/p-1",ZEYHEAKUIGZSGI-UHFFFAOYSA-M
102,4-Methyoxyphenol,,9.0414,150-76-5,COc1ccc(O)cc1,,,https://doi.org/10.1016/j.chemosphere.2023.138859,phenol,Oxygenated organics,"InChI=1S/C7H8O2/c1-9-7-4-2-6(8)3-5-7/h2-5,8H,1H3",NWVVVBRKAWDGAB-UHFFFAOYSA-N
103,4-Phenoxybenzoate ion,,8.1761,1346567-64-3,O=C(OCC1=CC=CC=C1)C2=CC=C(NC(C)C)C(OC3=CC=CC=C3)=C2,,,https://doi.org/10.1016/j.chemosphere.2023.138860,carboxylic acid,Oxygenated organics,"InChI=1S/C23H23NO3/c1-17(2)24-21-14-13-19(15-22(21)27-20-11-7-4-8-12-20)23(25)26-16-18-9-5-3-6-10-18/h3-15,17,24H,16H2,1-2H3",VRMRZOGZZQZGAC-UHFFFAOYSA-N
104,Aspirin,,7.3617,69453-66-3,CC(=O)OC1=CC=CC=C1C(=O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138861,carboxylic acid,Oxygenated organics,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)",BSYNRYMUTXBXSQ-UHFFFAOYSA-N
105,Indomethacin,,8.6981,5354-81-4,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138862,halogenated,Halogenated organics,"InChI=1S/C19H16ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9H,10H2,1-2H3,(H,22,23)",CGIGDMFJXJATDK-UHFFFAOYSA-N
106,Atenolol,,8.6138,1202864-50-3,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,,,https://doi.org/10.1016/j.chemosphere.2023.138863,amide,Nitrogen-containing organics,"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)",METKIMKYRPQLGS-UHFFFAOYSA-N
107,Metoprolol,,8.705,959786-79-9,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,,,https://doi.org/10.1016/j.chemosphere.2023.138864,amine,Nitrogen-containing organics,"InChI=1S/C15H25NO3/c1-12(2)16-10-14(17)11-19-15-6-4-13(5-7-15)8-9-18-3/h4-7,12,14,16-17H,8-11H2,1-3H3",IUBSYMUCCVWXPE-UHFFFAOYSA-N
108,Propranolol,,9.2507,127202-03-3,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,,,https://doi.org/10.1016/j.chemosphere.2023.138865,amine,Nitrogen-containing organics,"InChI=1S/C16H21NO2/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16/h3-9,12,14,17-18H,10-11H2,1-2H3",AQHHHDLHHXJYJD-UHFFFAOYSA-N
109,Gemfibrozil,,8.4579,86837-66-3,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138866,carboxylic acid,Oxygenated organics,"InChI=1S/C15H22O3/c1-11-6-7-12(2)13(10-11)18-9-5-8-15(3,4)14(16)17/h6-7,10H,5,8-9H2,1-4H3,(H,16,17)",HEMJJKBWTPKOJG-UHFFFAOYSA-N
110,Trimethoprim,,9.2737,304671-81-6,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,,,https://doi.org/10.1016/j.chemosphere.2023.138867,amine,Nitrogen-containing organics,"InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)",IEDVJHCEMCRBQM-UHFFFAOYSA-N
111,Venlafaxine,,8.5539,940297-06-3,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,,,https://doi.org/10.1016/j.chemosphere.2023.138868,amine,Nitrogen-containing organics,"InChI=1S/C17H27NO2/c1-18(2)13-16(17(19)11-5-4-6-12-17)14-7-9-15(20-3)10-8-14/h7-10,16,19H,4-6,11-13H2,1-3H3",PNVNVHUZROJLTJ-UHFFFAOYSA-N
